city,month,temperature,rainfall,snowfall
Obihiro,1,-6.9,40.5,52
Obihiro,2,-5.7,28.8,37
Obihiro,3,-0.4,43.8,36
Obihiro,4,6,60.1,9
Obihiro,5,11.6,84.7,1
Obihiro,6,15.2,81.1,0
Obihiro,7,18.9,107.1,0
Obihiro,8,20.3,141.3,0
Obihiro,9,16.9,140.2,0
Obihiro,10,10.3,85.7,0
Obihiro,11,3.5,54.2,10
Obihiro,12,-3.8,52.3,51
Sapporo,1,-3.2,108.4,137
Sapporo,2,-2.7,91.9,116
Sapporo,3,1.1,77.6,74
Sapporo,4,7.3,54.6,6
Sapporo,5,13,55.5,0
Sapporo,6,17,60.4,0
Sapporo,7,21.1,90.7,0
Sapporo,8,22.3,126.8,0
Sapporo,9,18.6,142.2,0
Sapporo,10,12.1,109.9,1
Sapporo,11,5.2,113.8,30
Sapporo,12,-0.9,114.5,113
Hachinohe,1,-0.9,42.8,77
Hachinohe,2,-0.5,40.1,75
Hachinohe,3,2.7,52,47
Hachinohe,4,8.5,64.3,3
Hachinohe,5,13.1,89.3,0
Hachinohe,6,16.2,105.8,0
Hachinohe,7,20.1,136.1,0
Hachinohe,8,22.5,128.8,0
Hachinohe,9,18.9,167.6,0
Hachinohe,10,13,87.2,0
Hachinohe,11,6.9,62,6
Hachinohe,12,1.8,49.1,40
Sendai,1,2,42.3,21
Sendai,2,2.4,33.9,18
Sendai,3,5.5,74.4,11
Sendai,4,10.7,90.2,1
Sendai,5,15.6,110.2,0
Sendai,6,19.2,143.7,0
Sendai,7,22.9,178.4,0
Sendai,8,24.4,157.8,0
Sendai,9,21.2,192.6,0
Sendai,10,15.7,150.6,0
Sendai,11,9.8,58.7,0
Sendai,12,4.5,44.1,9
