langcode,lang,region,latitude,longitude
1,Abidji,Ivory coast,5.3590165114996795,-4.007754624980986
14,Bete,Ivory coast,7.967300052313252,-5.811216799342793
28,Chumburu,Kpandai,8.470674262687,-0.011415514760872247
33,Didinga,Didinga Hills,4.334873734305821,33.58582238972362
35,Dyimini,Burkina Faso,12.447304847364387,-1.8292240604326206
36,Ejagam,Nigeria,8.990469690466384,8.19405860953821
43,Gunu,Cameroon,8.522966117810801,13.788144579609165
56,Konkomba,Ghana,7.68676969254216,-0.30530936430731886
61,Lele,Chad,11.386171308898987,15.614883616110278
62,Mampruli,Northern Ghana,9.545975757417258,-0.4599985536989668
73,Mundu,South Sudan,8.496747183081103,32.408944114415576
75,Murle,Pibor,6.799665051493061,33.12888553779475
77,Nafaanra,Bondoukou,8.032670827494105,-2.7885103501490347
100,Vagla,Northern Ghana,9.215374240127607,-0.5314096795626398
104,Wobe,Ivory coast,7.422932583744922,-5.415709025328602
105,Yacouba,Ivory coast,7.2485901864344005,-7.54705647418285
